Gene,Lib_num,Comb,Min_dist,Mut_dist,Comb_tfs,Observed_mean,Expected_mean,Obs-Exp_mean,Obs-Exp_sem,TF,Comb_type
Met13,51,0_3,38,53,Cbf1_Abf1,54.57364355683535,55.64398156873991,-1.070338011904555,0.9919842481418228,Abf1,non-self_comb
Met13,51,0_4,77,82,Cbf1_Abf1,74.90543745260322,77.31481610745138,-2.4093786548481573,0.8189090252226006,Abf1,non-self_comb
Met13,51,1_3,37,49,Met31_Abf1,35.37574626507315,25.514843038990392,9.86090322608276,3.711441733786565,Abf1,non-self_comb
Met13,51,1_4,76,78,Met31_Abf1,64.04486582029641,61.078434949876836,2.9664308704195825,1.7622062435506698,Abf1,non-self_comb
Met13,51,2_3,9,22,Met31_Abf1,40.93626695333615,42.877902695732885,-1.9416357423967288,1.2206068251923587,Abf1,non-self_comb
Met13,51,2_4,48,51,Met31_Abf1,67.01058884112199,68.79739328158048,-1.7868044404584948,0.9687146703694614,Abf1,non-self_comb
Met13,51,3_4,26,29,Abf1_Abf1,79.93100193182137,85.5518779891895,-5.620876057368128,0.8289005229269574,Abf1,Self_comb
Crc1,76,0_1,0,12,Nrg1/Nrg2/Abf1_Reb1,7.1657991483641,9.80747245149521,-2.641673303131109,2.105651625336606,Abf1,non-self_comb
Crc1,76,0_2,21,33,Nrg1/Nrg2/Abf1_Ash1,2.0888317722288323,4.530731594792195,-2.4418998225633635,2.289146488355629,Abf1,non-self_comb
Crc1,76,0_3,40,52,Nrg1/Nrg2/Abf1_Sfl1,-2.2427553091849983,-3.0247158330950144,0.7819605239100164,1.9509909779002772,Abf1,non-self_comb
Crc1,76,0_4,43,58,Nrg1/Nrg2/Abf1_Sfl1,-6.446301275881106,-7.8755841611510435,1.4292828852699384,2.5055816199743517,Abf1,non-self_comb
Crc1,76,0_5,57,71,Nrg1/Nrg2/Abf1_Reb1,40.90907473915191,42.287234842661114,-1.3781601035092046,1.6879956286353297,Abf1,non-self_comb
Gpp1,81,0_1,7,11,Nrg1/Nrg2_Abf1,50.68930933489355,57.682138964030095,-6.992829629136536,1.0990517585997321,Abf1,non-self_comb
Gpp1,81,0_2,7,19,Nrg1/Nrg2_Nrg1/Nrg2/Abf1,-11.968038202858656,-12.048361996129959,0.08032379327130301,1.574266242579738,Abf1,non-self_comb
Gpp1,81,0_3,21,34,Nrg1/Nrg2_Abf1,39.10641331321594,41.861891960079035,-2.7554786468630943,0.9605953280417384,Abf1,non-self_comb
Gpp1,81,1_2,0,8,Abf1_Nrg1/Nrg2/Abf1,52.73374614030144,50.90186464429656,1.8318814960048773,1.0177294195294049,Abf1,Self_comb
Gpp1,81,1_3,2,23,Abf1_Abf1,81.98477367008267,94.49616109346992,-12.511387423387227,0.45793250084588,Abf1,Self_comb
Gpp1,81,1_4,13,25,Abf1_Rap1,46.71728068175226,47.008270763131726,-0.290990081379466,0.9773568097472034,Abf1,non-self_comb
Gpp1,81,1_5,25,37,Abf1_Crz1,52.46886003437694,54.87905154394138,-2.4101915095644335,0.8700200527221792,Abf1,non-self_comb
Gpp1,81,1_6,41,58,Abf1_Rap1,41.12611252078681,49.195769321876284,-8.069656801089472,1.4567574099211162,Abf1,non-self_comb
Gpp1,81,2_3,2,15,Nrg1/Nrg2/Abf1_Abf1,43.27218719524603,39.94351576499058,3.328671430255461,1.0964539028477482,Abf1,Self_comb
Gpp1,81,2_4,13,17,Nrg1/Nrg2/Abf1_Rap1,-23.775354866664586,-20.64996844224305,-3.125386424421532,1.8263536546546313,Abf1,non-self_comb
Gpp1,81,2_5,25,29,Nrg1/Nrg2/Abf1_Crz1,-6.622554208682979,-5.540014074502017,-1.0825401341809613,1.542875132819254,Abf1,non-self_comb
Gpp1,81,2_6,41,50,Nrg1/Nrg2/Abf1_Rap1,-29.850690275943904,-29.761944646635886,-0.08874562930802077,1.8463854202933405,Abf1,non-self_comb
Gpp1,81,3_4,0,2,Abf1_Rap1,35.694069613986144,33.4168898391502,2.2771797748359544,1.0114063257924653,Abf1,non-self_comb
Gpp1,81,3_5,11,14,Abf1_Crz1,43.247537699556325,46.09661980455403,-2.849082104997698,0.975614557982335,Abf1,non-self_comb
Gpp1,81,3_6,27,35,Abf1_Rap1,29.61868662129733,39.08843773052559,-9.469751109228264,1.5802586505729028,Abf1,non-self_comb
Icy1,29,0_2,39,45,Rsf2/Tda9/Adr1/Mig1/Mig2/Mig3_Tos8/Cup9/Aca1/Cst6/Sko1,-1.6676406539006372,-0.7190974278652174,-0.9485432260354199,2.6416258813464477,Aca1,non-self_comb
Icy1,29,1_2,21,25,Gat1_Tos8/Cup9/Aca1/Cst6/Sko1,-1.5358058527761662,0.1508760668380793,-1.6866819196142455,2.243744458013422,Aca1,non-self_comb
Icy1,29,2_3,6,13,Tos8/Cup9/Aca1/Cst6/Sko1_Swi4,0.028805837633026632,-2.1523672678442187,2.181173105477245,2.7233103749367724,Aca1,non-self_comb
Icy1,29,2_4,33,40,Tos8/Cup9/Aca1/Cst6/Sko1_Migs/Tda9/Adr1,1.224844392932807,-2.9305556702849205,4.155400063217727,2.259959528956818,Aca1,non-self_comb
Faa1,34,0_1,8,12,Stp3/Stp4_Aca1/Cst6,1.5351377562125352,4.044241432540657,-2.509103676328122,1.8949904468378655,Aca1,non-self_comb
Faa1,34,1_2,7,11,Aca1/Cst6_Dot6/Tod6,3.0074328410395452,0.38854556841289856,2.6188872726266466,1.5797853596529572,Aca1,non-self_comb
Faa1,34,1_3,10,17,Aca1/Cst6_Dot6/Tod6,-0.553978448745842,1.3027564019720481,-1.85673485071789,2.30565552489312,Aca1,non-self_comb
Faa1,34,1_4,20,25,Aca1/Cst6_Tos8/Cup9,2.3751097027578614,0.12977656302499557,2.2453331397328657,2.48278563751228,Aca1,non-self_comb
Faa1,34,1_5,65,69,Aca1/Cst6_Ash1,1.7749647337665264,3.264428026509641,-1.4894632927431144,1.5242279988666942,Aca1,non-self_comb
Ahp1,49,0_3,86,93,Ash1_Cst6/Aca1,-9.84329867216665,-13.23430745616842,3.39100878400177,6.640204935405872,Aca1,non-self_comb
Ahp1,49,1_3,59,66,Yap1/Yap2/Yap7_Cst6/Aca1,-8.135847179849765,1.771845700103497,-9.907692879953261,7.117343442180054,Aca1,non-self_comb
Ahp1,49,2_3,25,31,Gis1_Cst6/Aca1,-6.363820580802307,-5.8741249731246725,-0.4896956076776343,7.509277947360346,Aca1,non-self_comb
Bdh2,56,0_2,14,21,Msn2/Msn4/Adr1_Yap1/Aca1,1.580642771820779,-2.3654743336115462,3.946117105432325,2.4664671015242217,Aca1,non-self_comb
Bdh2,56,1_2,10,17,Adr1/Gat1_Yap1/Aca1,-0.9319035126654891,1.7108676761775792,-2.642771188843068,2.3207261201386635,Aca1,non-self_comb
Bdh2,56,2_3,23,30,Yap1/Aca1_Msn2/Msn4,-1.1567111722104901,-3.4577560031531203,2.30104483094263,2.585721274467208,Aca1,non-self_comb
Bdh2,56,2_4,39,44,Yap1/Aca1_Stp3/Stp4,0.27603343960910176,1.3201574636844335,-1.0441240240753318,2.4082284399433624,Aca1,non-self_comb
Bdh2,56,2_5,56,61,Yap1/Aca1_Stp3/Stp4,-0.9753741726787903,1.7522943808072913,-2.727668553486082,2.444147469871414,Aca1,non-self_comb
Dse2,92,0_1,9,14,Ace2_Fkh1/Fkh2,10.418096005470401,12.00566794298572,-1.5875719375153197,2.13682947181415,Ace2,non-self_comb
Dse2,92,0_2,30,39,Ace2_Fkh1/Fkh2,9.018076249440943,9.313359892073109,-0.2952836426321659,2.1863198576000773,Ace2,non-self_comb
Rsm7,40,0_1,3,5,Phd1/Sok2_Ace2/Swi5,-1.2329161590311284,-0.3678575863378258,-0.8650585726933027,1.038737468348746,Ace2,non-self_comb
Rsm7,40,0_5,73,79,Phd1/Sok2_Ace2/Swi5,10.986271169196343,11.40039900858299,-0.4141278393866476,0.9542458176799362,Ace2,non-self_comb
Rsm7,40,1_2,18,25,Ace2/Swi5_Msn2/Msn4/Gis1/Rsf2/Nrg1/Nrg2,0.00211517143623996,0.6829026110342643,-0.6807874395980243,1.1318622732823045,Ace2,non-self_comb
Rsm7,40,1_3,33,40,Ace2/Swi5_Nrg1/Nrg2,0.12553242963523545,0.3158117850510487,-0.19027935541581326,0.9693967988952463,Ace2,non-self_comb
Rsm7,40,1_4,63,69,Ace2/Swi5_Skn7,-3.223082753518646,-2.157706272568052,-1.0653764809505946,1.1707706221597005,Ace2,non-self_comb
Rsm7,40,1_5,65,74,Ace2/Swi5_Ace2/Swi5,10.974919519502233,10.036877581645852,0.9380419378563833,0.8543851310760356,Ace2,Self_comb
Rsm7,40,1_6,79,86,Ace2/Swi5_Gis1/Rsf2/Nrg1/Nrg2/Msn2/Msn4,-1.0426348467979414,-2.4749543788233854,1.432319532025444,1.0625453002616299,Ace2,non-self_comb
Rsm7,40,2_5,42,49,Msn2/Msn4/Gis1/Rsf2/Nrg1/Nrg2_Ace2/Swi5,12.046872742998824,11.213251567316696,0.8336211756821276,0.9412988628857009,Ace2,non-self_comb
Rsm7,40,3_5,28,34,Nrg1/Nrg2_Ace2/Swi5,12.13014123603681,9.569681745415409,2.560459490621402,0.6924742273152018,Ace2,non-self_comb
Rsm7,40,4_5,0,5,Skn7_Ace2/Swi5,9.307419568968864,14.432905950548014,-5.12548638157915,0.9652111921517622,Ace2,non-self_comb
Rsm7,40,5_6,9,12,Ace2/Swi5_Gis1/Rsf2/Nrg1/Nrg2/Msn2/Msn4,11.140004170898802,11.711196840240659,-0.5711926693418558,0.9345245219840967,Ace2,non-self_comb
Pcl2,37,0_1,0,5,Ace2/Swi5_Skn7,6.498443034918558,3.4142213340776615,3.084221700840897,0.8508866596658714,Ace2,non-self_comb
Pcl2,37,0_2,21,26,Ace2/Swi5_Ace2/Swi5,13.41695590991629,14.310990166464006,-0.8940342565477137,0.6709882970025695,Ace2,Self_comb
Pcl2,37,0_3,39,44,Ace2/Swi5_Tec1,6.118966380158436,5.55218642080794,0.5667799593504951,0.8971854732096478,Ace2,non-self_comb
Pcl2,37,0_4,62,67,Ace2/Swi5_Tec1,3.4868208855228358,4.164138906609825,-0.6773180210869895,0.7872013743160307,Ace2,non-self_comb
Pcl2,37,0_5,68,73,Ace2/Swi5_Ste12,6.662064887644117,6.427718847793659,0.2343460398504596,0.7846842888904619,Ace2,non-self_comb
Pcl2,37,0_6,79,88,Ace2/Swi5_Tec1,5.4714445777531635,6.234008108444771,-0.7625635306916071,0.815484330897228,Ace2,non-self_comb
Pcl2,37,1_2,19,21,Skn7_Ace2/Swi5,7.0149366118277126,7.249540623464455,-0.23460401163674266,0.6842334158984686,Ace2,non-self_comb
Pcl2,37,2_3,13,18,Ace2/Swi5_Tec1,6.675958004541753,5.757440365178355,0.9185176393633976,0.7494282212098168,Ace2,non-self_comb
Pcl2,37,2_4,36,41,Ace2/Swi5_Tec1,4.10282877037377,5.286122637615918,-1.1832938672421491,0.768783477467891,Ace2,non-self_comb
Pcl2,37,2_5,42,47,Ace2/Swi5_Ste12,7.197317867983907,5.764411014364851,1.4329068536190555,0.6996994016983829,Ace2,non-self_comb
Pcl2,37,2_6,53,62,Ace2/Swi5_Tec1,6.05701106901186,6.586773729408319,-0.5297626603964583,0.6936302832931222,Ace2,non-self_comb
YKL044W,31,0_3,43,47,Crz1_Swi5/Ace2/Crz1,8.21353191153031,9.172900009621145,-0.9593680980908345,0.7889552679686486,Ace2,non-self_comb
YKL044W,31,1_3,35,39,Crz1/Met31_Swi5/Ace2/Crz1,8.439636350557427,7.973265186591933,0.4663711639654941,0.9671247004791574,Ace2,non-self_comb
YKL044W,31,2_3,16,19,Phd1/Sok2_Swi5/Ace2/Crz1,10.863536899439378,8.90003907952429,1.9634978199150852,0.9498177410733024,Ace2,non-self_comb
YKL044W,31,3_4,0,4,Swi5/Ace2/Crz1_Skn7,10.551405111699294,5.838667358037672,4.712737753661623,0.9356553279797499,Ace2,non-self_comb
YKL044W,31,3_5,17,23,Swi5/Ace2/Crz1_Nrg1/Nrg2,7.313081093368848,7.439168517738739,-0.12608742436989173,0.8895313944916409,Ace2,non-self_comb
YKL044W,31,3_6,25,32,Swi5/Ace2/Crz1_Gzf3/Gat1,7.518549484503245,7.933270257250283,-0.4147207727470372,0.8392422025449727,Ace2,non-self_comb
Amn1,44,0_1,60,64,Ace2/Swi5_Phd1/Sok2,16.313087931242134,17.125714163462025,-0.8126262322198887,0.8703333376304017,Ace2,non-self_comb
Amn1,44,0_2,63,68,Ace2/Swi5_Sfl1,20.0791438848823,20.710135730237262,-0.6309918453549626,1.0335814198945046,Ace2,non-self_comb
Amn1,44,0_3,66,75,Ace2/Swi5_Fkh1/Fkh2,16.327226554592638,16.30361694865678,0.023609605935857175,1.157248286293454,Ace2,non-self_comb
Amn1,44,0_4,72,78,Ace2/Swi5_Hcm1,21.0812876146268,21.73575075643947,-0.6544631418126695,1.0722655784322082,Ace2,non-self_comb
